kode,uraian,fungsi_operasional,uraian_enriched,ai_search_context
200.1.6.2,ketahanan perdagangan investasi fiskal dan moneter,200.1,Ketahanan perdagangan investasi fisurat keputusan (sk)al dan moneter,Kode 200.1.6.2 (200.1): Ketahanan perdagangan investasi fisurat keputusan (sk)al dan moneter
200.1.6.3,perilaku perekonomian masyarakat,200.1,Perilaku perekonomian masyarakat,Kode 200.1.6.3 (200.1): Perilaku perekonomian masyarakat
200.1.6.4,ketahanan lembaga sosial ekonomi,200.1,Ketahanan lembaga sosial ekonomi,Kode 200.1.6.4 (200.1): Ketahanan lembaga sosial ekonomi
200.2,pemilu,200.2,Pemilu,Kode 200.2 (200.2): Pemilu
200.2.1,kebijakan di bidang pemilu yang dilakukan oleh pemerintah daerah,200.2,Kebijakan di bidang pemilu yang dilakukan oleh pemerintah daerah,Kode 200.2.1 (200.2): Kebijakan di bidang pemilu yang dilakukan oleh pemerintah daerah
200.2.2,pemutakhiran dan penyusunan daftar pemilih,200.2,Pemutakhiran dan penyusunan daftar pemilih,Kode 200.2.2 (200.2): Pemutakhiran dan penyusunan daftar pemilih
200.2.2.1,daftar penduduk potensial pemilih dp4 pemilu,200.2,Daftar penduduk potensial pemilih dp4 pemilu,Kode 200.2.2.1 (200.2): Daftar penduduk potensial pemilih dp4 pemilu
200.2.2.2,daftar pemilih sementara dps,200.2,Daftar pemilih sementara dps,Kode 200.2.2.2 (200.2): Daftar pemilih sementara dps
200.2.2.3,daftar pemilih tambahan,200.2,Daftar pemilih tambahan,Kode 200.2.2.3 (200.2): Daftar pemilih tambahan
200.2.2.4,keputusan kpu tentang daftar pemilih tetap dpt,200.2,Keputusan kpu tentang daftar pemilih tetap dpt,Kode 200.2.2.4 (200.2): Keputusan kpu tentang daftar pemilih tetap dpt
200.2.2.5,rekapitulasi daftar pemilih tetap dpt,200.2,Rekapitulasi daftar pemilih tetap dpt,Kode 200.2.2.5 (200.2): Rekapitulasi daftar pemilih tetap dpt
200.2.3,pendaftaran dan verifikasi peserta pemilu,200.2,Pendaftaran dan verifikasi peserta pemilu,Kode 200.2.3 (200.2): Pendaftaran dan verifikasi peserta pemilu
200.2.3.1,dokumen pendaftaran peserta pemilu dari partai politik,200.2,Dokumen pendaftaran peserta pemilu dari partai politik,Kode 200.2.3.1 (200.2): Dokumen pendaftaran peserta pemilu dari partai politik
200.2.3.2,dokumen hasil verifikasi administrasi dan faktual partai politik,200.2,Dokumen hasil verifikasi administrasi dan faktual partai politik,Kode 200.2.3.2 (200.2): Dokumen hasil verifikasi administrasi dan faktual partai politik
200.2.3.3,dokumen pendaftaran peserta pemilu dari calon perseorangan,200.2,Dokumen pendaftaran peserta pemilu dari calon perseorangan,Kode 200.2.3.3 (200.2): Dokumen pendaftaran peserta pemilu dari calon perseorangan
200.2.3.4,dokumen hasil verifikasi administrasi dan faktual,200.2,Dokumen hasil verifikasi administrasi dan faktual,Kode 200.2.3.4 (200.2): Dokumen hasil verifikasi administrasi dan faktual
200.2.4,penetapan peserta pemilu,200.2,Penetapan peserta pemilu,Kode 200.2.4 (200.2): Penetapan peserta pemilu
200.2.4.1,penetapan daerah pemilihan dan jumlah kursi anggota,200.2,Penetapan daerah pemilihan dan jumlah kursi anggota,Kode 200.2.4.1 (200.2): Penetapan daerah pemilihan dan jumlah kursi anggota
200.2.4.2,keputusan kpu tentang penetapan daerah pemilihan dan jumlah kursi anggota dpr,200.2,Keputusan kpu tentang penetapan daerah pemilihan dan jumlah kursi anggota dpr,Kode 200.2.4.2 (200.2): Keputusan kpu tentang penetapan daerah pemilihan dan jumlah kursi anggota dpr
200.2.4.3,keputusan kpu tentang penetapan daerah pemilihan dan jumlah kursi anggota dpr,200.2,Keputusan kpu tentang penetapan daerah pemilihan dan jumlah kursi anggota dpr,Kode 200.2.4.3 (200.2): Keputusan kpu tentang penetapan daerah pemilihan dan jumlah kursi anggota dpr
200.2.4.4,keputusan kpu tentang penetapan daerah pemilihan dan jumlah kursi anggota dprd kabupaten atau kota,200.2,Keputusan kpu tentang penetapan daerah pemilihan dan jumlah kursi anggota dewan perwakilan rakyat daerah (dprd) kabupaten atau kota,Kode 200.2.4.4 (200.2): Keputusan kpu tentang penetapan daerah pemilihan dan jumlah kursi anggota dewan perwakilan rakyat daerah (dprd) kabupaten atau kota
200.2.4.5,peta daerah pemilihan,200.2,Peta daerah pemilihan,Kode 200.2.4.5 (200.2): Peta daerah pemilihan
200.2.5,pencalonan pemilu,200.2,Pencalonan pemilu,Kode 200.2.5 (200.2): Pencalonan pemilu
200.2.5.1,petunjuk teknis pencalonan,200.2,Petunjuk teknis pencalonan,Kode 200.2.5.1 (200.2): Petunjuk teknis pencalonan
200.2.5.2,surat pencalonan pendaftaran,200.2,Surat pencalonan pendaftaran,Kode 200.2.5.2 (200.2): Surat pencalonan pendaftaran
200.2.5.3,daftar bakal calon,200.2,Daftar bakal calon,Kode 200.2.5.3 (200.2): Daftar bakal calon
200.2.5.4,dokumen persyaratan masing masing bakal calon,200.2,Dokumen persyaratan masing masing bakal calon,Kode 200.2.5.4 (200.2): Dokumen persyaratan masing masing bakal calon
200.2.5.5,dokumen verifikasi administrasi,200.2,Dokumen verifikasi administrasi,Kode 200.2.5.5 (200.2): Dokumen verifikasi administrasi
200.2.5.6,daftar calon sementara dan calon tetap,200.2,Daftar calon sementara dan calon tetap,Kode 200.2.5.6 (200.2): Daftar calon sementara dan calon tetap
200.2.6,kampanye pemilu,200.2,Kampanye pemilu,Kode 200.2.6 (200.2): Kampanye pemilu
200.2.6.1,keputusan kpu tentang penetapan jadwal kampanye,200.2,Keputusan kpu tentang penetapan jadwal kampanye,Kode 200.2.6.1 (200.2): Keputusan kpu tentang penetapan jadwal kampanye
200.2.6.2,nama juru kampanye atau pelaksana kampanye,200.2,Nama juru kampanye atau pelaksana kampanye,Kode 200.2.6.2 (200.2): Nama juru kampanye atau pelaksana kampanye
200.2.6.3,peringatan tertulis atau penghentian kegiatan kampanye,200.2,Peringatan tertulis atau penghentian kegiatan kampanye,Kode 200.2.6.3 (200.2): Peringatan tertulis atau penghentian kegiatan kampanye
200.2.7,dana kampanye,200.2,Dana kampanye,Kode 200.2.7 (200.2): Dana kampanye
200.2.7.1,pedoman audit dana kampanye,200.2,Pedoman audit dana kampanye,Kode 200.2.7.1 (200.2): Pedoman audit dana kampanye
200.2.7.2,laporan dana kampanye peserta pemilu,200.2,Laporan dana kampanye peserta pemilu,Kode 200.2.7.2 (200.2): Laporan dana kampanye peserta pemilu
200.2.7.3,laporan hasil audit dana kampanye,200.2,Laporan hasil audit dana kampanye,Kode 200.2.7.3 (200.2): Laporan hasil audit dana kampanye
200.2.8,pemungutan dan penghitungan suara,200.2,Pemungutan dan penghitungan suara,Kode 200.2.8 (200.2): Pemungutan dan penghitungan suara
200.2.8.1,keputusan kpu tentang desain dan spesifikasi surat suara,200.2,Keputusan kpu tentang desain dan spesifikasi surat suara,Kode 200.2.8.1 (200.2): Keputusan kpu tentang desain dan spesifikasi surat suara
200.2.8.2,master surat suara,200.2,Master surat suara,Kode 200.2.8.2 (200.2): Master surat suara
200.2.8.3,surat suara yang terpakai,200.2,Surat suara yang terpakai,Kode 200.2.8.3 (200.2): Surat suara yang terpakai
200.2.8.4,surat suara tidak terpakai rusak salah dan tidak digunakan,200.2,Surat suara tidak terpakai rusak salah dan tidak digunakan,Kode 200.2.8.4 (200.2): Surat suara tidak terpakai rusak salah dan tidak digunakan
200.2.8.5,formulir pemilu di pemerintah daerah,200.2,Formulir pemilu di pemerintah daerah,Kode 200.2.8.5 (200.2): Formulir pemilu di pemerintah daerah
200.2.9,penetapan hasil pemilu,200.2,Penetapan hasil pemilu,Kode 200.2.9 (200.2): Penetapan hasil pemilu
200.2.10,perselisihan hasil pemilu,200.2,Perselisihan hasil pemilu,Kode 200.2.10 (200.2): Perselisihan hasil pemilu
200.2.10.1,surat-surat mengenai perselisihan hasil pemilu,200.2,Surat-surat mengenai perselisihan hasil pemilu,Kode 200.2.10.1 (200.2): Surat-surat mengenai perselisihan hasil pemilu
200.2.10.2,jawaban dan kesimpulan termohon,200.2,Jawaban dan kesimpulan termohon,Kode 200.2.10.2 (200.2): Jawaban dan kesimpulan termohon
200.2.10.3,salinan putusan lembaga peradilan,200.2,Salinan putusan lembaga peradilan,Kode 200.2.10.3 (200.2): Salinan putusan lembaga peradilan
300,keamanan dan ketertiban,300,Keamanan dan ketertiban,Kode 300 (300): Keamanan dan ketertiban
300.1,satuan polisi pamong praja,300.1,Satuan polisi pamong praja,Kode 300.1 (300.1): Satuan polisi pamong praja
300.1.1,kebijakan di bidang polisi pamong praja yang dilakukan di pemerintah daerah,300.1,Kebijakan di bidang polisi pamong praja yang dilakukan di pemerintah daerah,Kode 300.1.1 (300.1): Kebijakan di bidang polisi pamong praja yang dilakukan di pemerintah daerah
300.1.2,tata operasional dan prasarana sarana polisi pamong praja,300.1,Tata operasional dan prasarana sarana polisi pamong praja,Kode 300.1.2 (300.1): Tata operasional dan prasarana sarana polisi pamong praja
300.1.2.1,tata operasional polisi pamong praja,300.1,Tata operasional polisi pamong praja,Kode 300.1.2.1 (300.1): Tata operasional polisi pamong praja
300.1.2.2,sarana prasarana polisi pamong praja,300.1,Sarana prasarana polisi pamong praja,Kode 300.1.2.2 (300.1): Sarana prasarana polisi pamong praja
300.1.3,peningkatan kapasitas sdm polisi pamong praja,300.1,Peningkatan kapasitas sdm polisi pamong praja,Kode 300.1.3 (300.1): Peningkatan kapasitas sdm polisi pamong praja
300.1.4,perlindungan masyarakat,300.1,Perlindungan masyarakat,Kode 300.1.4 (300.1): Perlindungan masyarakat
300.1.5,penyidik pegawai negeri sipil,300.1,Penyidik pegawai negeri sipil,Kode 300.1.5 (300.1): Penyidik pegawai negeri sipil
300.1.6,perlindungan hak-hak sipil dan hak asasi manusia,300.1,Perlindungan hak-hak sipil dan hak asasi manusia,Kode 300.1.6 (300.1): Perlindungan hak-hak sipil dan hak asasi manusia
300.2,penanggulangan bencana pencarian dan pertolongan,300.2,Penanggulangan bencana pencarian dan pertolongan,Kode 300.2 (300.2): Penanggulangan bencana pencarian dan pertolongan
300.2.1,kebijakan di bidang penanggulangan bencana yang dilakukan oleh pemerintah daerah,300.2,Kebijakan di bidang penanggulangan bencana yang dilakukan oleh pemerintah daerah,Kode 300.2.1 (300.2): Kebijakan di bidang penanggulangan bencana yang dilakukan oleh pemerintah daerah
300.2.2.1,rencana dan standarisasi dan pengawasan dan perbekalan,300.2,Rencana dan standarisasi dan pengawasan dan perbekalan,Kode 300.2.2.1 (300.2): Rencana dan standarisasi dan pengawasan dan perbekalan
300.2.2.2,kurikulum dan silabus evaluasi dan monitoring,300.2,Kurikulum dan silabus evaluasi dan monitoring,Kode 300.2.2.2 (300.2): Kurikulum dan silabus evaluasi dan monitoring
300.2.2.3,tenaga pencarian pertolongan penyiapan potensi pencarian dan pertolongan,300.2,Tenaga pencarian pertolongan penyiapan potensi pencarian dan pertolongan,Kode 300.2.2.3 (300.2): Tenaga pencarian pertolongan penyiapan potensi pencarian dan pertolongan
300.2.2.4,permasyarakatan pencarian dan pertolongan sertifikasi pencarian dan pertolongan,300.2,Permasyarakatan pencarian dan pertolongan sertifikasi pencarian dan pertolongan,Kode 300.2.2.4 (300.2): Permasyarakatan pencarian dan pertolongan sertifikasi pencarian dan pertolongan
300.2.2.5,perencanaan dan standarisasi penyelenggaraan operasi sar siaga dan latihan tempat latihan,300.2,Perencanaan dan standarisasi penyelenggaraan operasi sar siaga dan latihan tempat latihan,Kode 300.2.2.5 (300.2): Perencanaan dan standarisasi penyelenggaraan operasi sar siaga dan latihan tempat latihan
300.2.2.6,registrasi beacon,300.2,Registrasi beacon,Kode 300.2.2.6 (300.2): Registrasi beacon
300.2.3,pencegahan dan kesiapsiagaan,300.2,Pencegahan dan kesiapsiagaan,Kode 300.2.3 (300.2): Pencegahan dan kesiapsiagaan
300.2.4,potensi pencarian dan pertolongan,300.2,Potensi pencarian dan pertolongan,Kode 300.2.4 (300.2): Potensi pencarian dan pertolongan
300.2.5,bina ketenagaan dan pemasyarakatan,300.2,Bina ketenagaan dan pemasyarakatan,Kode 300.2.5 (300.2): Bina ketenagaan dan pemasyarakatan
300.2.5.1,rencana pendidikan dan pelatihan,300.2,Rencana pendidikan dan pelatihan,Kode 300.2.5.1 (300.2): Rencana pendidikan dan pelatihan
300.2.5.2,penyiapan tenaga dan potensi pencarian dan pertolongan,300.2,Penyiapan tenaga dan potensi pencarian dan pertolongan,Kode 300.2.5.2 (300.2): Penyiapan tenaga dan potensi pencarian dan pertolongan
300.2.5.3,pemasyarakatan dan sertifikasi pencarian dan pertolongan,300.2,Pemasyarakatan dan sertifikasi pencarian dan pertolongan,Kode 300.2.5.3 (300.2): Pemasyarakatan dan sertifikasi pencarian dan pertolongan
300.2.5.4,pemasyarakatan pencarian dan pertolongan sosialisasi dan penyuluhan,300.2,Pemasyarakatan pencarian dan pertolongan sosialisasi dan penyuluhan,Kode 300.2.5.4 (300.2): Pemasyarakatan pencarian dan pertolongan sosialisasi dan penyuluhan
300.2.5.5,sertifikasi pencarian dan pertolongan,300.2,Sertifikasi pencarian dan pertolongan,Kode 300.2.5.5 (300.2): Sertifikasi pencarian dan pertolongan
300.2.6,operasi pencarian dan pertolongan,300.2,Operasi pencarian dan pertolongan,Kode 300.2.6 (300.2): Operasi pencarian dan pertolongan
300.2.6,operasi pencarian dan pertolongan,300.2,Operasi pencarian dan pertolongan,Kode 300.2.6 (300.2): Operasi pencarian dan pertolongan
300.2.7,rencana pengembangan dan standardisasi komunikasi,300.2,Rencana pengembangan dan standardisasi komunikasi,Kode 300.2.7 (300.2): Rencana pengembangan dan standardisasi komunikasi
300.2.8,operasi komunikasi,300.2,Operasi komunikasi,Kode 300.2.8 (300.2): Operasi komunikasi
300.2.8.1,operasi peralatan komunikasi berita sar,300.2,Operasi peralatan komunikasi berita sar,Kode 300.2.8.1 (300.2): Operasi peralatan komunikasi berita sar
300.2.8.2,operasi peralatan deteksi dini berita sar,300.2,Operasi peralatan deteksi dini berita sar,Kode 300.2.8.2 (300.2): Operasi peralatan deteksi dini berita sar
300.2.8.3,registrasi beacon,300.2,Registrasi beacon,Kode 300.2.8.3 (300.2): Registrasi beacon
300.2.9,inventarisasi dan pemeliharaan,300.2,Inventarisasi dan pemeliharaan,Kode 300.2.9 (300.2): Inventarisasi dan pemeliharaan
300.2.10,pengembangan sistem informasi,300.2,Pengembangan sistem informasi,Kode 300.2.10 (300.2): Pengembangan sistem informasi
300.2.11,penyajian dan layanan informasi,300.2,Penyajian dan layanan informasi,Kode 300.2.11 (300.2): Penyajian dan layanan informasi
300.2.12,pelapooran dan evaluasi,300.2,Pelapooran dan evaluasi,Kode 300.2.12 (300.2): Pelapooran dan evaluasi
300.2.12.1,laporan harian,300.2,Laporan harian,Kode 300.2.12.1 (300.2): Laporan harian
300.2.12.2,laporan bulanan,300.2,Laporan bulanan,Kode 300.2.12.2 (300.2): Laporan bulanan
300.2.12.3,laporoan tahunan,300.2,Laporoan tahunan,Kode 300.2.12.3 (300.2): Laporoan tahunan
300.2.12.4,evaluasi,300.2,Evaluasi,Kode 300.2.12.4 (300.2): Evaluasi
400,kesejahteraan rakyat,400,Kesejahteraan rakyat,Kode 400 (400): Kesejahteraan rakyat
400.1,pembangunan daerah tertinggal,400.1,Pembangunan daerah tertinggal,Kode 400.1 (400.1): Pembangunan daerah tertinggal
400.1.1,kebijakan di bidang pembangunan daerah tertinggal yang dilakukan oleh pemerintah daerah,400.1,Kebijakan di bidang pembangunan daerah tertinggal yang dilakukan oleh pemerintah daerah,Kode 400.1.1 (400.1): Kebijakan di bidang pembangunan daerah tertinggal yang dilakukan oleh pemerintah daerah
400.1.2,pembangunan sumber daya,400.1,Pembangunan sumber daya,Kode 400.1.2 (400.1): Pembangunan sumber daya
400.1.2.1,fasilitasi pendidikan keterampilan pengembangan sumber daya,400.1,Fasilitasi pendidikan keterampilan pengembangan sumber daya,Kode 400.1.2.1 (400.1): Fasilitasi pendidikan keterampilan pengembangan sumber daya
400.1.2.2,fasilitasi kesehatan pengembangan sumber daya,400.1,Fasilitasi kesehatan pengembangan sumber daya,Kode 400.1.2.2 (400.1): Fasilitasi kesehatan pengembangan sumber daya
400.1.2.3,fasilitasi sumber daya hayati dan pengembangan sumber daya,400.1,Fasilitasi sumber daya hayati dan pengembangan sumber daya,Kode 400.1.2.3 (400.1): Fasilitasi sumber daya hayati dan pengembangan sumber daya
400.1.2.5,fasilitasi teknologi dan inovasi,400.1,Fasilitasi teknologi dan inovasi,Kode 400.1.2.5 (400.1): Fasilitasi teknologi dan inovasi
400.1.2.6,koordinasi pelaksanaan kebijakan pengembangan sumber daya,400.1,Koordinasi pelaksanaan kebijakan pengembangan sumber daya,Kode 400.1.2.6 (400.1): Koordinasi pelaksanaan kebijakan pengembangan sumber daya
400.1.2.7,pemantauan dan evaluasi,400.1,Pemantauan dan evaluasi,Kode 400.1.2.7 (400.1): Pemantauan dan evaluasi
400.1.3,peningkatan infrastruktur,400.1,Peningkatan infrastruktur,Kode 400.1.3 (400.1): Peningkatan infrastruktur
400.1.3.1,fasilitasi transportasi peningkatan infrastruktur,400.1,Fasilitasi transportasi peningkatan infrastruktur,Kode 400.1.3.1 (400.1): Fasilitasi transportasi peningkatan infrastruktur
400.1.3.2,fasilitasi informasi dan telekomunikasi dalam peningkatan infrastruktur,400.1,Fasilitasi informasi dan telekomunikasi dalam peningkatan infrastruktur,Kode 400.1.3.2 (400.1): Fasilitasi informasi dan telekomunikasi dalam peningkatan infrastruktur
400.1.3.3,fasilitasi sosial dalam peningkatan infrastruktur,400.1,Fasilitasi sosial dalam peningkatan infrastruktur,Kode 400.1.3.3 (400.1): Fasilitasi sosial dalam peningkatan infrastruktur
400.1.3.4,fasilitasi ekonomi dalam peningkatan infrastruktur,400.1,Fasilitasi ekonomi dalam peningkatan infrastruktur,Kode 400.1.3.4 (400.1): Fasilitasi ekonomi dalam peningkatan infrastruktur
400.1.3.5,fasilitasi energi dalam peningkatan infrastruktur,400.1,Fasilitasi energi dalam peningkatan infrastruktur,Kode 400.1.3.5 (400.1): Fasilitasi energi dalam peningkatan infrastruktur
400.1.3.6,koordinasi pelaksanaan kebijakan peningkatan infrastruktur,400.1,Koordinasi pelaksanaan kebijakan peningkatan infrastruktur,Kode 400.1.3.6 (400.1): Koordinasi pelaksanaan kebijakan peningkatan infrastruktur
400.1.3.7,pemantauan dan evaluasi,400.1,Pemantauan dan evaluasi,Kode 400.1.3.7 (400.1): Pemantauan dan evaluasi
400.1.4 ,pembinaan ekonomi dan dunia usaha,400.1,Pembinaan ekonomi dan dunia usaha,Kode 400.1.4  (400.1): Pembinaan ekonomi dan dunia usaha
400.1.4.1,fasilitasi investasi pembinaan ekonomi dan dunia usaha,400.1,Fasilitasi investasi pembinaan ekonomi dan dunia usaha,Kode 400.1.4.1 (400.1): Fasilitasi investasi pembinaan ekonomi dan dunia usaha
400.1.4.2,fasilitasi kelembagaan ekonomi dan dunia usaha,400.1,Fasilitasi kelembagaan ekonomi dan dunia usaha,Kode 400.1.4.2 (400.1): Fasilitasi kelembagaan ekonomi dan dunia usaha
400.1.4.3,fasilitasi usaha mikro kecil dan menengah,400.1,Fasilitasi usaha mikro kecil dan menengah,Kode 400.1.4.3 (400.1): Fasilitasi usaha mikro kecil dan menengah
400.1.4.4,fasilitasi kemitraan usaha,400.1,Fasilitasi kemitraan usaha,Kode 400.1.4.4 (400.1): Fasilitasi kemitraan usaha
400.1.4.5,fasilitasi pengembangan komoditas unggulan,400.1,Fasilitasi pengembangan komoditas unggulan,Kode 400.1.4.5 (400.1): Fasilitasi pengembangan komoditas unggulan
400.1.4.6,koordinasi pelaksanaan kebijakan pembinaan ekonomi dan dunia usaha,400.1,Koordinasi pelaksanaan kebijakan pembinaan ekonomi dan dunia usaha,Kode 400.1.4.6 (400.1): Koordinasi pelaksanaan kebijakan pembinaan ekonomi dan dunia usaha
400.1.4.7,pemantauan dan evaluasi,400.1,Pemantauan dan evaluasi,Kode 400.1.4.7 (400.1): Pemantauan dan evaluasi
400.1.4.8,identifikasi dan inventarisasi pengembangan usaha ekonomi perdesaan tertinggal,400.1,Identifikasi dan inventarisasi pengembangan usaha ekonomi perdesaan tertinggal,Kode 400.1.4.8 (400.1): Identifikasi dan inventarisasi pengembangan usaha ekonomi perdesaan tertinggal
400.1.4.9,fasilitasi pengembangan usaha ekonomi perdesaan tertinggal,400.1,Fasilitasi pengembangan usaha ekonomi perdesaan tertinggal,Kode 400.1.4.9 (400.1): Fasilitasi pengembangan usaha ekonomi perdesaan tertinggal
400.1.4.10,monitoring dan evaluasi ekonomi desa tertinggal,400.1,Monitoring dan evaluasi ekonomi desa tertinggal,Kode 400.1.4.10 (400.1): Monitoring dan evaluasi ekonomi desa tertinggal
400.1.4.11,identifikasi dan inventarisasi pengembangan masyarakat dan desa tertinggal,400.1,Identifikasi dan inventarisasi pengembangan masyarakat dan desa tertinggal,Kode 400.1.4.11 (400.1): Identifikasi dan inventarisasi pengembangan masyarakat dan desa tertinggal
400.1.4.12,fasilitasi pengembangan masyarakat dan desa tertinggal,400.1,Fasilitasi pengembangan masyarakat dan desa tertinggal,Kode 400.1.4.12 (400.1): Fasilitasi pengembangan masyarakat dan desa tertinggal
400.1.4.13,monitoring dan evaluasi masyarakat tertinggal,400.1,Monitoring dan evaluasi masyarakat tertinggal,Kode 400.1.4.13 (400.1): Monitoring dan evaluasi masyarakat tertinggal
400.1.4.14,fasilitasi kerja sama antar desa,400.1,Fasilitasi kerja sama antar desa,Kode 400.1.4.14 (400.1): Fasilitasi kerja sama antar desa
400.1.5,pembinaan lembaga sosial dan budaya,400.1,Pembinaan lembaga sosial dan budaya,Kode 400.1.5 (400.1): Pembinaan lembaga sosial dan budaya
400.1.5.1,penguatan kapasitas lembaga lokal,400.1,Penguatan kapasitas lembaga lokal,Kode 400.1.5.1 (400.1): Penguatan kapasitas lembaga lokal
400.1.5.2,penguatan organisasi masyarakat,400.1,Penguatan organisasi masyarakat,Kode 400.1.5.2 (400.1): Penguatan organisasi masyarakat
400.1.5.3,pemberdayaan masyarakat,400.1,Pemberdayaan masyarakat,Kode 400.1.5.3 (400.1): Pemberdayaan masyarakat
400.1.5.4,kerjasama antar lembaga sosial dan budaya,400.1,Kerjasama antar lembaga sosial dan budaya,Kode 400.1.5.4 (400.1): Kerjasama antar lembaga sosial dan budaya
400.1.5.5,ketenagakerjaan,400.1,Ketenagakerjaan,Kode 400.1.5.5 (400.1): Ketenagakerjaan
400.1.5.6,koordinasi pelaksanaan kebijakan pembinaan lembaga sosial dan budaya,400.1,Koordinasi pelaksanaan kebijakan pembinaan lembaga sosial dan budaya,Kode 400.1.5.6 (400.1): Koordinasi pelaksanaan kebijakan pembinaan lembaga sosial dan budaya
400.1.5.7,pemantauan dan evaluasi,400.1,Pemantauan dan evaluasi,Kode 400.1.5.7 (400.1): Pemantauan dan evaluasi
400.1.6,pengembangan daerah khusus,400.1,Pengembangan daerah khusus,Kode 400.1.6 (400.1): Pengembangan daerah khusus
400.1.6.1,fasilitasi pengembangan daerah perbatasan,400.1,Fasilitasi pengembangan daerah perbatasan,Kode 400.1.6.1 (400.1): Fasilitasi pengembangan daerah perbatasan
400.1.6.2,fasilitasi pengembangan daerah rawan konflik dan bencana,400.1,Fasilitasi pengembangan daerah rawan konflik dan bencana,Kode 400.1.6.2 (400.1): Fasilitasi pengembangan daerah rawan konflik dan bencana
400.1.6.3,fasilitasi pengembangan daerah perdesaan,400.1,Fasilitasi pengembangan daerah perdesaan,Kode 400.1.6.3 (400.1): Fasilitasi pengembangan daerah perdesaan
400.1.6.4,fasilitasi pengembangan daerah pulau terpencil dan terluar,400.1,Fasilitasi pengembangan daerah pulau terpencil dan terluar,Kode 400.1.6.4 (400.1): Fasilitasi pengembangan daerah pulau terpencil dan terluar
400.1.6.5,fasilitasi pengembangan wilayah strategis,400.1,Fasilitasi pengembangan wilayah strategis,Kode 400.1.6.5 (400.1): Fasilitasi pengembangan wilayah strategis
400.1.6.6,koordinasi pelaksanaan kebijakan pengembangan daerah khusus,400.1,Koordinasi pelaksanaan kebijakan pengembangan daerah khusus,Kode 400.1.6.6 (400.1): Koordinasi pelaksanaan kebijakan pengembangan daerah khusus
400.1.6.7,pemantauan dan evaluasi,400.1,Pemantauan dan evaluasi,Kode 400.1.6.7 (400.1): Pemantauan dan evaluasi
400.2,pemberdayaan perempuan dan perlindungan anak,400.2,Pemberdayaan perempuan dan perlindungan anak,Kode 400.2 (400.2): Pemberdayaan perempuan dan perlindungan anak
400.2.1,kebijakan di bidang pemberdayaan perempuan dan perlindungan anak yang dilakukan oleh pemerintah daerah,400.2,Kebijakan di bidang pemberdayaan perempuan dan perlindungan anak yang dilakukan oleh pemerintah daerah,Kode 400.2.1 (400.2): Kebijakan di bidang pemberdayaan perempuan dan perlindungan anak yang dilakukan oleh pemerintah daerah
400.2.2.1,data gender,400.2,Data gender,Kode 400.2.2.1 (400.2): Data gender
400.2.2.2,advokasi dan fasilitasi,400.2,Advokasi dan fasilitasi,Kode 400.2.2.2 (400.2): Advokasi dan fasilitasi
400.2.3,perlindungan perempuan kekerasan masalah sosial tenaga kerja korban perdagangan,400.2,Perlindungan perempuan kekerasan masalah sosial tenaga kerja korban perdagangan,Kode 400.2.3 (400.2): Perlindungan perempuan kekerasan masalah sosial tenaga kerja korban perdagangan
400.2.3.1,pencegahan kekerasan terhadap perempuan,400.2,Pencegahan kekerasan terhadap perempuan,Kode 400.2.3.1 (400.2): Pencegahan kekerasan terhadap perempuan
400.2.3.2,data perlindungan perempuan,400.2,Data perlindungan perempuan,Kode 400.2.3.2 (400.2): Data perlindungan perempuan
400.2.3.3,advokasi dan fasilitasi,400.2,Advokasi dan fasilitasi,Kode 400.2.3.3 (400.2): Advokasi dan fasilitasi
400.2.3.4,monitoring evaluasi dan analisa kebijakan perlindungan perempuan,400.2,Monitoring evaluasi dan analisa kebijakan perlindungan perempuan,Kode 400.2.3.4 (400.2): Monitoring evaluasi dan analisa kebijakan perlindungan perempuan
400.2.3.5,sistem aplikasi dan jaringan informasi gender,400.2,Sistem aplikasi dan jaringan informasi gender,Kode 400.2.3.5 (400.2): Sistem aplikasi dan jaringan informasi gender
400.2.3.6,analisis dan penyajian informasi gender,400.2,Analisis dan penyajian informasi gender,Kode 400.2.3.6 (400.2): Analisis dan penyajian informasi gender
400.2.3.7,partisipasi publik untuk kesejahteraan ibu,400.2,Partisipasi publik untuk kesejahteraan ibu,Kode 400.2.3.7 (400.2): Partisipasi publik untuk kesejahteraan ibu
400.2.4,perlindungan anak hak sipil masalah sosial kekerasan terhadap anak anak berkebutuhan khusus anak berhadapan dengan hukum,400.2,Perlindungan anak hak sipil masalah sosial kekerasan terhadap anak anak berkebutuhan khusus anak berhadapan dengan hukum,Kode 400.2.4 (400.2): Perlindungan anak hak sipil masalah sosial kekerasan terhadap anak anak berkebutuhan khusus anak berhadapan dengan hukum
400.2.4.1,pencegahan kekerasan terhadap anak,400.2,Pencegahan kekerasan terhadap anak,Kode 400.2.4.1 (400.2): Pencegahan kekerasan terhadap anak
400.2.4.2,data perlindungan anak,400.2,Data perlindungan anak,Kode 400.2.4.2 (400.2): Data perlindungan anak
400.2.4.3,advokasi dan fasilitasi,400.2,Advokasi dan fasilitasi,Kode 400.2.4.3 (400.2): Advokasi dan fasilitasi
400.2.4.5,partisipasi publik untuk kesejahteraan anak,400.2,Partisipasi publik untuk kesejahteraan anak,Kode 400.2.4.5 (400.2): Partisipasi publik untuk kesejahteraan anak
